,MAE,RMSE
1,0.6197916666666666,1.00260078463
2,0.6458333333333334,1.01550480058
3,0.9895833333333334,1.78243746968
4,1.2552083333333333,1.93245310422
5,0.9322916666666666,1.48077963699
6,0.703125,1.23533059003
7,0.5364583333333334,0.981601582449
8,0.2552083333333333,0.563656219103
9,0.8385416666666666,1.47018989703
10,0.6770833333333334,1.19023807142
11,0.8333333333333334,1.39567785204
12,1.4895833333333333,2.25693376066
13,0.78125,1.35015431217
14,2.5833333333333335,4.34213849004
15,0.9166666666666666,1.46486631927
16,0.8541666666666666,1.31497781984
17,1.3697916666666667,2.11024287702
18,1.421875,2.18064401802
19,1.0364583333333333,1.61535599792
20,1.1354166666666667,1.90120575776
21,0.3333333333333333,0.620819351073
22,0.9479166666666666,1.50692844334
23,0.7760416666666666,1.28897569152
24,1.2083333333333333,1.81142209327
25,1.1041666666666667,1.80277563773
26,0.8854166666666666,1.31101106021
27,0.9791666666666666,1.59752412606
28,1.0677083333333333,1.53602571593
29,0.7135416666666666,1.1967838847
30,0.859375,1.34435548374
32,1.1510416666666667,1.76038584786
34,0.7239583333333334,1.1703809921
36,0.5989583333333334,1.05326872165
37,0.6614583333333334,1.06311256851
38,0.6145833333333334,0.989528507253
39,1.2395833333333333,1.73505523447
40,0.75,1.16815381407
41,1.359375,2.08541562604
42,0.8333333333333334,1.23322071558
43,0.78125,1.17260393996
44,0.5989583333333334,1.12962014264
45,1.2239583333333333,1.88331489666
46,0.9427083333333334,1.48077963699
47,0.734375,1.1703809921
48,1.0729166666666667,1.69558249578
49,0.65625,1.17703724099
50,0.9270833333333334,1.44337567297
51,0.8645833333333334,1.37689263682
52,0.78125,1.17260393996
53,0.5989583333333334,1.07770976303
54,0.9479166666666666,1.52752523165
55,1.515625,2.35959918913
56,0.6770833333333334,1.15470053838
57,1.1614583333333333,1.79263539702
58,0.859375,1.26861144564
59,0.4791666666666667,0.883883476483
60,0.5208333333333334,0.810092587301
61,0.7083333333333334,1.13651514142
62,0.4739583333333333,0.83229101481
63,0.640625,1.04333200213
64,1.40625,2.05142227085
65,0.9010416666666666,1.4270453158
66,1.625,2.52487623459
67,1.2552083333333333,1.83285978733
68,1.1145833333333333,1.8791620473
69,0.921875,1.50519932235
70,0.484375,0.85695682505
71,1.6458333333333333,2.45798020063
72,0.7708333333333334,1.33072661856
73,1.4635416666666667,2.0425168298
74,1.3072916666666667,1.94588240481
75,0.6927083333333334,1.11570231992
76,0.5729166666666666,1.02062072616
77,1.171875,1.82716766244
78,0.9270833333333334,1.52752523165
81,0.921875,1.41237093806
82,0.6875,1.20761472885
83,0.7604166666666666,1.29099444874
84,0.8020833333333334,1.47901994577
85,0.8072916666666666,1.26449924212
86,0.5208333333333334,0.924211375534
87,1.0572916666666667,1.56956735015
88,0.96875,1.70782512766
89,0.90625,1.52752523165
90,0.3020833333333333,0.75
91,0.5885416666666666,1.03832798286
92,0.6979166666666666,1.19023807142
93,0.671875,1.11102430216
94,0.90625,1.38067012715
95,1.1302083333333333,1.71543240419
96,0.6927083333333334,1.07286609913
97,0.7083333333333334,1.17703724099
98,0.859375,1.3863170633
99,0.9010416666666666,1.45952332401
100,0.7239583333333334,1.22261672926
101,1.375,2.27760839479
102,0.0,0.0
103,0.390625,0.718070330817
104,1.4895833333333333,2.31615701828
105,0.5989583333333334,1.03329973064
106,0.8125,1.24582636564
107,1.1510416666666667,1.95921965758
108,1.3385416666666667,2.17586189819
109,1.734375,2.48432586429
110,0.4166666666666667,0.810092587301
111,0.7552083333333334,1.4270453158
112,1.484375,2.85864915651
113,0.6770833333333334,1.14564392374
114,0.8229166666666666,1.2747548784
115,1.1041666666666667,1.75
116,1.171875,1.875
117,0.578125,0.927024810887
118,0.6875,1.17260393996
119,1.0416666666666667,1.55120920575
120,0.71875,1.42156017577
121,0.609375,1.10632650395
122,0.8854166666666666,1.35015431217
123,0.6875,1.18145390656
124,0.6458333333333334,1.13192314227
125,0.734375,1.18365605928
126,1.1927083333333333,2.01943680268
127,0.7552083333333334,1.41972708645
128,0.671875,1.07770976303
129,0.96875,1.52069063257
130,1.0729166666666667,1.66458202962
131,0.5885416666666666,0.970931683144
132,1.46875,2.03868830379
133,0.8958333333333334,1.48253723955
134,0.5416666666666666,0.907147544045
135,1.1875,1.79698822107
136,1.1302083333333333,1.87222016156
137,0.59375,1.0307764064
138,0.6927083333333334,1.22261672926
139,0.5833333333333334,0.957427107756
140,0.921875,1.69404594585
141,0.8802083333333334,1.48429276088
142,0.7604166666666666,1.14564392374
143,0.7604166666666666,1.25830573921
144,0.9635416666666666,1.50865558252
145,0.09895833333333333,0.346109327622
146,0.5260416666666666,0.976281209488
147,0.5833333333333334,1.13192314227
148,0.8333333333333334,1.30304131426
149,0.640625,1.1016086722
150,0.703125,1.14791477616
151,0.6145833333333334,0.984250984251
152,0.6666666666666666,1.03581690789
153,1.09375,1.75
154,2.8177083333333335,5.76763599753
155,0.796875,1.26037362185
156,0.703125,1.1016086722
157,0.90625,1.35015431217
158,0.4583333333333333,0.822850735755
159,1.078125,1.67860308987
160,1.0052083333333333,1.63139766254
161,0.5208333333333334,0.924211375534
163,0.828125,1.28492866209
164,0.6145833333333334,1.01036297108
165,0.265625,0.625
166,0.75,1.18145390656
167,1.1822916666666667,1.8805473494
168,0.5520833333333334,0.968245836552
169,0.7447916666666666,1.20545634512
170,0.6458333333333334,1.14564392374
171,0.5104166666666666,0.901387818866
172,0.5052083333333334,0.91001373616
173,0.8645833333333334,1.54784796842
174,1.328125,2.15421099245
175,1.078125,1.712393549
176,0.53125,0.889756521003
177,0.9427083333333334,1.68170300588
178,0.6666666666666666,1.12268279878
180,0.6302083333333334,1.04333200213
181,0.5,0.935414346693
182,0.71875,1.25
183,0.6875,1.08972473589
184,0.7708333333333334,1.29502252233
185,0.71875,1.13192314227
186,0.875,1.43250945314
187,0.7447916666666666,1.11102430216
188,0.734375,1.13422146573
189,0.6614583333333334,1.14336856117
190,0.828125,1.26449924212
191,1.359375,2.21852991866
192,1.1822916666666667,1.80998388575
193,1.5104166666666667,2.24304480562
194,1.625,2.36731211856
195,0.984375,1.48077963699
196,0.8020833333333334,1.32680694401
197,1.1302083333333333,1.84701335494
199,1.21875,1.91485421551
200,0.7864583333333334,1.2183492931
201,0.8072916666666666,1.28897569152
202,1.0416666666666667,1.59426053914
203,1.1458333333333333,1.77364972115
204,0.8177083333333334,1.25208160011
207,0.8020833333333334,1.66770800802
208,0.3125,0.629152869606
209,0.4635416666666667,0.863013132384
210,1.0052083333333333,1.65359456942
211,0.5260416666666666,0.943729304409
212,0.2760416666666667,0.590726953282
213,1.1302083333333333,1.82145774953
214,1.4114583333333333,2.08041462214
215,1.4427083333333333,2.30601568367
216,0.84375,1.30703226178
217,1.5729166666666667,2.32289331079
218,0.5833333333333334,1.0
219,0.9114583333333334,1.34435548374
220,0.5833333333333334,0.940965815886
221,0.7916666666666666,1.22048487632
222,0.375,0.756912588524
223,0.796875,1.2930100541
224,0.8125,1.2747548784
225,1.203125,1.87777572321
226,0.9583333333333334,1.58442944515
227,0.8385416666666666,1.26861144564
228,1.2552083333333333,1.93245310422
229,1.2552083333333333,1.8915932438
230,0.8229166666666666,1.31893264928
231,0.59375,0.9464847243
232,0.6822916666666666,1.27271036244
233,0.9479166666666666,1.52411176318
234,0.90625,1.45057459879
235,0.65625,1.09924216319
236,0.6197916666666666,1.06311256851
237,0.8333333333333334,1.27883410444
238,0.3958333333333333,0.816496580928
239,1.0833333333333333,1.66770800802
240,0.515625,0.949232145825
242,0.9583333333333334,1.52752523165
243,0.8802083333333334,1.32876822659
244,0.8385416666666666,1.30104124967
245,0.4270833333333333,0.803637563416
246,1.25,2.04379141141
247,0.4270833333333333,0.816496580928
248,0.828125,1.40497627501
249,0.609375,0.981601582449
250,0.5,0.912870929175
251,1.8541666666666667,2.7309949347
252,1.078125,1.94855715851
253,0.7708333333333334,1.36167788653
254,0.953125,1.45595043414
255,0.671875,1.23953956505
256,0.578125,1.02824688994
257,0.6614583333333334,1.07770976303
258,0.625,1.1086778913
260,0.8854166666666666,1.43250945314
261,0.3645833333333333,0.75
262,0.6354166666666666,1.04083299973
263,0.7708333333333334,1.30703226178
264,1.046875,1.53263117981
265,0.7447916666666666,1.26037362185
266,0.8020833333333334,1.41421356237
267,0.6041666666666666,0.994778032193
268,0.875,1.44337567297
269,0.7604166666666666,1.19895788083
270,1.2604166666666667,1.9121323176
271,0.28125,0.645497224368
272,1.2916666666666667,2.0
273,1.109375,1.98300067238
274,0.7604166666666666,1.17260393996
275,0.7395833333333334,1.22899010031
276,0.6979166666666666,1.2624381173
277,0.953125,1.4270453158
278,1.2604166666666667,1.90120575776
279,0.6979166666666666,1.22899010031
280,0.6354166666666666,1.09449379471
281,0.9791666666666666,1.66458202962
284,0.6614583333333334,1.05326872165
286,0.65625,1.07043604822
287,0.890625,1.45952332401
288,0.9739583333333334,1.65359456942
289,0.4739583333333333,0.904272267259
290,1.046875,1.93514641996
291,0.5104166666666666,0.877971146071
